CO,PM10,PM25,NO2,NO,NOX,ville,annee,mois,jour,heure,AQI,temperature,vent,pluie,humidite
4.5,8.7,21.4,15.2,44.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,3.0,70.55793991416309,2,1,2,1
4.1,6.0,12.7,9.6,27.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,4.0,52.261802575107296,1,4,3,4
11.2,4.7,14.6,15.9,39.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,5.0,129.72413793103448,3,4,4,4
7.4,6.5,14.9,14.5,37.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,6.0,80.0,2,4,4,4
10.5,9.2,15.7,15.1,38.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,7.0,117.89655172413794,2,1,1,2
14.6,6.3,18.9,19.2,48.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,8.0,,4,1,2,4
13.5,6.4,19.5,21.3,52.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,9.0,,2,3,4,2
9.8,11.4,21.5,21.8,55.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,10.0,106.0689655172414,2,2,3,4
12.7,8.0,21.6,23.5,57.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,11.0,,2,3,2,4
12.8,8.1,25.3,28.4,68.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,12.0,,4,1,1,4
11.5,11.8,23.6,28.0,66.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,13.0,134.79310344827587,2,2,1,4
17.0,13.9,26.3,34.1,78.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,14.0,,3,4,2,3
18.4,12.9,28.3,34.4,81.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,15.0,,4,2,3,1
12.9,12.1,30.3,29.5,75.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,16.0,,3,4,4,4
14.9,11.2,33.7,30.0,79.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,17.0,,4,1,2,3
19.8,13.2,46.4,40.2,108.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,18.0,,2,2,3,1
27.1,16.3,50.5,48.9,124.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,19.0,,3,4,2,1
25.0,16.7,50.1,48.3,124.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,20.0,,4,3,1,1
23.2,12.8,44.5,31.3,92.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,21.0,,1,3,2,2
17.0,11.4,36.8,26.7,78.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,22.0,,2,4,3,4
10.5,9.1,22.5,13.2,42.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,5.0,23.0,117.89655172413794,4,3,3,2
8.6,10.6,15.7,8.3,28.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,0.0,92.0,1,3,1,1
14.4,10.5,19.1,10.5,34.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,1.0,,4,2,3,3
8.9,9.6,16.0,7.0,26.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,2.0,95.0,1,3,3,3
9.8,6.7,19.3,9.7,34.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,3.0,106.0689655172414,2,2,1,2
8.4,9.9,26.5,14.3,48.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,4.0,90.0,3,1,3,4
13.1,7.2,26.6,18.2,55.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,5.0,,1,3,3,1
14.2,9.9,38.7,32.6,90.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,6.0,,4,1,2,4
16.9,10.1,50.5,49.1,125.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,7.0,,2,3,2,2
14.4,10.7,44.8,36.0,99.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,8.0,,1,4,2,3
15.6,9.7,50.0,39.5,110.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,9.0,,4,4,2,3
15.1,9.9,31.7,21.3,63.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,10.0,,4,1,4,2
8.1,7.8,24.9,34.8,79.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,11.0,87.0,4,1,2,1
14.5,8.4,29.2,43.6,95.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,12.0,,1,1,2,2
14.1,10.0,32.4,45.9,103.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,13.0,,1,4,2,2
16.9,10.4,35.6,52.3,114.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,14.0,,1,1,1,2
16.9,11.4,38.8,57.4,126.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,15.0,,3,4,2,1
26.9,10.7,50.3,78.4,171.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,16.0,,1,1,4,1
35.2,12.4,55.8,80.8,180.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,17.0,,1,2,4,3
34.6,11.8,37.1,50.1,114.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,18.0,,1,2,4,4
30.2,11.8,36.5,39.1,96.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,19.0,,3,3,3,1
20.5,8.5,27.4,26.5,68.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,20.0,,1,2,1,1
19.0,6.4,21.3,21.5,54.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,21.0,,4,1,2,1
16.8,11.4,21.4,19.3,50.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,22.0,,1,2,2,2
15.9,12.0,23.0,15.9,47.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,6.0,23.0,,4,2,3,4
11.7,7.2,20.7,9.3,34.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,0.0,138.17241379310343,4,1,1,3
10.7,5.2,15.9,7.6,27.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,1.0,121.2758620689655,4,2,3,3
8.6,9.3,12.2,4.3,18.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,2.0,92.0,3,1,4,2
8.8,10.5,22.9,10.5,39.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,3.0,94.0,3,2,3,3
18.0,9.2,23.0,17.9,50.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,4.0,,3,1,1,2
19.6,8.6,36.3,45.9,106.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,5.0,,1,4,3,2
27.0,11.1,46.2,72.8,157.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,6.0,,4,4,1,1
34.4,14.8,57.7,90.9,197.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,7.0,,3,3,3,1
36.2,15.7,56.9,80.0,179.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,8.0,,3,2,1,1
38.2,11.1,50.2,82.9,177.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,9.0,,1,3,2,4
41.6,16.0,56.9,85.6,188.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,10.0,,3,1,4,4
46.8,11.1,42.3,66.2,143.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,11.0,,1,4,1,3
31.7,7.9,33.2,45.9,103.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,12.0,,2,1,3,4
33.4,9.5,31.5,44.1,99.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,13.0,,3,3,3,1
28.8,7.3,37.5,48.2,111.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,14.0,,2,1,4,4
32.4,8.3,38.2,51.5,117.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,15.0,,1,1,2,3
29.8,12.0,36.5,42.2,101.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,16.0,,4,1,2,1
33.2,10.4,45.2,52.1,125.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,17.0,,3,1,2,4
34.6,9.6,41.8,48.5,116.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,18.0,,1,4,1,1
31.7,16.6,41.1,44.2,108.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,19.0,,4,1,4,3
33.3,11.4,46.2,51.1,124.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,20.0,,4,1,1,3
34.1,14.0,40.6,47.3,113.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,21.0,,2,4,1,1
28.4,10.8,37.1,38.9,96.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,22.0,,1,1,1,2
23.1,11.6,38.2,37.1,95.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,7.0,23.0,,4,1,1,3
21.1,8.7,44.3,50.4,121.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,0.0,,3,3,3,4
26.8,17.0,39.4,46.3,110.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,1.0,,3,4,3,3
19.0,11.1,32.1,40.6,94.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,2.0,,2,2,3,1
24.3,11.5,39.4,46.6,110.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,3.0,,4,1,1,1
21.5,14.2,36.7,41.8,100.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,4.0,,1,3,2,3
33.7,14.4,53.3,82.8,180.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,5.0,,3,4,3,1
29.9,12.2,59.4,91.8,200.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,6.0,,4,1,4,2
37.2,21.8,71.1,99.9,224.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,7.0,,4,2,3,3
30.8,16.7,68.6,109.2,236.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,8.0,,2,1,1,2
21.1,13.0,59.0,60.6,151.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,9.0,,3,3,1,3
20.0,9.9,55.7,45.1,124.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,10.0,,3,4,1,2
10.2,6.6,46.8,30.6,93.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,11.0,128.82412060301507,1,3,3,4
16.2,6.7,56.7,49.1,131.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,12.0,,3,4,2,1
10.9,12.2,55.9,44.4,124.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,13.0,151.20653319283457,1,2,1,1
11.4,8.3,49.0,30.2,95.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,14.0,134.24120603015075,3,1,4,3
12.4,8.9,57.6,39.9,118.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,15.0,152.08429926238145,2,3,1,3
20.2,15.7,76.0,94.3,220.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,16.0,,3,2,2,2
26.1,16.4,72.5,90.7,211.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,17.0,,1,2,2,1
11.2,13.9,30.7,31.9,79.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,18.0,129.72413793103448,1,1,2,1
16.8,10.9,26.7,23.2,62.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,19.0,,2,3,1,2
18.8,11.7,35.1,34.2,87.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,20.0,,3,1,4,4
20.1,16.9,32.2,28.5,75.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,21.0,,3,1,4,4
21.9,9.9,29.6,26.4,70.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,22.0,,2,4,1,4
23.1,13.6,26.8,22.3,61.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,8.0,23.0,,3,4,3,3
18.0,8.9,20.5,14.4,42.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,0.0,,3,1,3,2
10.5,7.8,17.1,10.1,32.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,1.0,117.89655172413794,1,4,4,2
9.8,5.5,18.5,9.2,32.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,2.0,106.0689655172414,3,3,3,4
5.2,5.5,21.4,12.6,40.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,3.0,70.55793991416309,3,4,3,2
7.6,6.6,29.2,23.7,65.5,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,4.0,86.96137339055795,2,2,4,2
9.1,7.0,46.7,52.2,126.9,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,5.0,128.5778894472362,2,1,3,4
23.4,15.5,70.2,112.0,242.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,6.0,,4,1,3,3
15.7,17.4,58.2,97.7,208.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,7.0,,1,3,1,2
6.7,10.7,42.1,68.0,146.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,8.0,117.25125628140704,3,1,3,1
9.2,7.7,29.6,39.8,90.1,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,9.0,98.0,3,4,4,3
8.7,10.1,32.9,40.0,94.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,10.0,94.74248927038629,4,2,1,2
10.6,8.7,32.0,39.2,91.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,11.0,119.58620689655172,3,1,4,2
7.5,8.8,34.6,39.5,95.2,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,12.0,98.3175965665236,1,4,1,1
24.5,9.9,34.6,38.6,93.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,13.0,,4,2,4,2
26.4,15.1,43.8,60.1,136.0,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,14.0,,1,1,2,1
28.5,12.0,52.0,78.7,172.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,15.0,,4,1,1,1
36.4,16.8,66.2,115.0,242.6,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,16.0,,4,1,1,2
42.6,14.1,72.3,139.0,285.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,17.0,,2,2,1,3
76.6,46.4,73.8,144.5,295.3,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,18.0,,1,1,4,3
36.4,19.8,66.7,125.3,258.7,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,19.0,,3,1,2,2
43.1,23.6,68.1,125.1,259.8,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,20.0,,3,4,1,2
33.2,21.4,61.5,108.3,227.4,,Autoroute A1 - Saint-Denis,2025.0,1.0,9.0,21.0,,1,4,2,4
